observation_1,observation_2,hypothesis_1,hypothesis_2,label
Ron started his new job as a landscaper today.,Ron is immediately fired for insubordination.,Ron ignores his bosses's orders and called him an idiot.,Ron's boss called him an idiot.,1
Sandy lived in New York.,Sandy was prepared.,It stormed in New York.,She partied all night.,1
Mary's mom came home with more bananas than they could possibly eat.,That was the best way ever to eat a banana!,Mary and her mom decided to make chocolate covered frozen bananas to avoid waste.,So Mary made pineapple splits for everyone.,1
Jim was working on a project.,"Luckily, he found it on a nearby shelf.",Jim found he was missing an item.,Jim needed a certain animal for it.,1
Sean was sitting at his desk.,"After a minute, he was able to put the chair back together.",He noticed the chair leg was falling off.,He leaned too far back and his chair tipped over.,1
Pablo likes to eat worms.,Pablo does not enjoy eating worms.,Pablo thought that worms were a delicious source of protein.,Pablo then learned what worms really are.,2
There was a scientist who wanted to collect bacteria samples.,The bacteria was non harmful.,The scientist collected samples of the bacteria and tested them.,He collected the bacteria and froze it.,1
I joined the Navy.,That angered me so I hit him and was arrested by the military police.,My commanding officer told me I wasn't doing bad at my job.,My drill sergeant insulted my mother.,2
Dotty was being very grumpy.,She felt much better afterwards.,Dotty ate something bad.,Dotty call some close friends to chat.,2
Ali's mom enrolled her in a karate class.,Ali was so embarrassed she didn't tell any of her friends.,Ali did not want to take karate.,Ali did horribly in her last class.,1
A sob escaped Cory's lips.,"When he got home, he curled into a ball in the corner and cried.",Cory was teased by some of the kids in his classroom.,Cory ran away from home as fast as he could.,1
Many young adults play in the marching band in school.,Dennis loves his marching band and enjoys entertaining the fans.,People went to watch the band play.,Dennis has been a member for ten seconds.,1
Deb wanted to go shopping.,She found everything she needed and had money left over.,Deb went to a matinee movie instead.,Deb had a lot of coupons.,2
My cousin Kory was working at the airport.,He is now serving out his sentence.,Kory stole from the airport.,He got caught anti-shoplifting from passengers.,1
"Daniel wanted to buy a toy plane, but he didn't have any money.","He bought his toy plane, and kept working so he could buy another!",He opened a lemonade stand.,Daniel stayed home and didn't want to buy a plane.,1
Jenna hit the weight hard in the gym.,She took a cold bath in order to alleviate her pain.,Her neck pain stopped because of this.,Jenna pulled a muscle lifting weights.,2
It was lunch time and Kat was hungry.,Kat and her coworkers enjoyed a nice lunch outside.,Kat went to get a salad.,Kat decided to take a nap instead of eating.,1
Cosmo was a pudgy cat.,Now he's fit and muscular!,His owner gave him a lower fat cat food.,The vet put Cosmo on a treadmill.,1
"Tim was a boy scout, and went on many camping trips with his friends.","Eventually, Tim had to go home without any socks.",Tim became very sick one day.,Tim could not find his socks.,2
One day Adam bought two BB guns.,Adam took the gun away from Christian.,Adam's brother Christian was afraid of the guns.,Christian grabbed the gun and shot Adam in the eye.,2
My friend is a hunter.,The elk was nowhere to be found.,She set up a hunting blind in the woods.,My friend who is a hunter found lots of elk.,1
I walked into my math class.,I ended up failing.,I saw the string by the door.,I didn't study for the test.,2
"In 1989, our company started using personal computers.",When she got her pc later she did not know how to use it.,we bought the owners grandmother a new pc.,Our founder Rachel only uses the PC.,1
Mary doesn't like cold weather.,At least until she can afford to move to warmer state.,Mary wears two jackets.,It seemed that the cold weather stopped for two months.,1
Amy and her friends were out at 3 AM.,"They stayed there breathing hard, and praying they hadn't been seen.","They started getting followed by a policeman, ran, and hid behind a building.",The decided to break into the football field. When suddenly they saw a flashlight comming towards them. They all started running for the bleachers.,2
Bob's parents grounded him.,He came back home but his parents didn't even know he left.,Bob got caught sneaking out.,Bob got away with sneaking out.,2
Amy worked in the stockroom at Marshall's.,Amy decided she would push herself to meet her new quota.,Amy won an award for how much work she accomplished and was given the same quota.,Amy's boss said she needed to do more.,2
Jason had always admired the fast movements of boxers he saw on TV.,He won his first fight by knockout.,"He didn't let his inspiration go to waste, he trained and trained.",Jason learned to knit.,1
Erin tried to learn how to draw.,So she joined a drawing class.,"Erin, practiced drawing at home with no luck.","Erin, practiced drawing at home and became recognized for her talent.",1
Jon decided to steal a police car.,Jon went to prison for three years.,Jon crashed the police car into a telephone poll.,Jon wasn't caught.,1
I used to procrastinate about studying.,"Now, I never procrastinate studying.",I failed a big test.,"After getting a good grade, I learned an easy lesson.",1
Jacob hated walking to school.,Jacob was able to buy himself a used truck after 5 months of saving.,Jacob decided to buy himself a car.,Jacob couldn't afford a car.,1
Roy went to the park to watch Little League baseball.,The visiting team developed performance issues as a result.,He yelled at the players for every home run.,Roy made the other team uncomfortable.,2
Stan started to feel sick at school one day.,Stan finally recovered but said he wanted a flu shot from now on.,Stan was out of school for a week with the stomach ache.,The school nurse sent Stan home from school.,2
Lisa and Tim had been married for a long time.,It worked.,Lisa and Tim went to a fertility clinic to get pregnant.,They decided to try the advice given in a book about guitar playing.,1
Adam loves to eat sandwiches when he drinks.,Adam choked to death because he forgot to take off the cheese wrapper.,"Adam made himself a sandwich using bread, turkey, and a slice of American cheese.",Adam made himself a pb&j sandwich.,1
Tom was painting his fence.,Tom left his fence half painted.,Tom got tired of painting after he finished.,Tom heard a game was on and left.,2
Amy decided to move from Wisconsin to Florida.,However the experience was no fun without her friends.,She would be with her friends out there.,Amy wanted to live by the beadch.,2
Roger wanted to play tennis as well as Roger Federer.,No one ever told Roger all his balls never landed in the court.,Roger overslept and lounged most the day.,Roger tried but he wasn't as good as his idol.,2
Julie had a coworker named Barry who loved to make trouble for others.,Julie was incredibly embarrassed.,Barry did not tell anyone that Julie farted.,Barry laughed at Julie's unzipped pants.,2
Bob decided to hike in the jungles of Indonesia.,Bob had also forgotten his shoes.,Bob stopped in the middle of the hike because he had no bug spray.,Bob stopped in the middle of his hike to tie his shoes.,1
Lucy got all her friends together for a pizza party.,"When the pizzas were done, they had a taste and were delicious.",Lucy decided to make the pizzas at home.,Lucy started ordering the pizza.,1
It was a very windy day.,Jim wished he hadn't gone out in his new hat.,Jim found his new hat in a storm.,Jim's hat blew away in the wind.,2
Trevor went to the lake one day to fish.,Trevor was forced to go home after he lost his fishing pole.,The water was perfect for all levels of fishing.,The water was spitting up poles.,1
My sister lived at the top of a highrise apartment.,I realized I was afraid of such massive heights and I fainted.,I went to visit her and stepped out onto the balcony of her apartment with a great view.,I looked down from her balcony to see the clouds.,1
Allister was practicing her with her bow.,It ended up coming straight down and landing on the instructor's foot.,Allister was still a novice at the bow.,Allister was a pro at the bow.,1
Billy was going to have his boss over for dinner.,He was still vacuuming when his boss arrived.,Billy played games and forgot about cleaning until 5PM.,Billy got home from work early.,1
"Maya was walking alongside a river, looking for frogs.","Luckily, she was able to get back up and walk home safely.",She ended up falling into the river.,Maya slipped on some rocks and broke her back.,1
Susan was making a soup.,She did her best to cut away the bad parts.,She had to put in some broth.,She had to put in some chicken.,2
Lulu felt so preoccupied lately.,But she was prepared to send her because the school was excellent.,Lulu's daughter was going to go to school for the first time.,Lulu's mom was thinking of sending her to a new house despite her objections.,1
I wanted to create a video game.,"Indeed, Java was terrible for programming video games.",I programmed with Java for robot game.,I programmed with Java for robot game because it was easy.,1
My best friend got married and moved to Hawaii.,We celebrated for days and I left for home at the end of the week.,My best friend visited me on a vacation.,I went with her to celebrate.,2
